Date,Day of Week,Day of Week Number,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,cloud_cover_cat,sunshine_cat,global_radiation_cat,mean_temp_cat,precipitation_cat,snow_depth_cat,pressure_cat,cloud_cover_cat_seq,sunshine_cat_seq,global_radiation_cat_seq,mean_temp_cat_seq,precipitation_cat_seq,snow_depth_cat_seq,pressure_cat_seq,Orders_Count,Total_Revenue,Avg_Revenue_Per_Order,Orders_Count_cat,Total_Revenue_cat,Avg_Revenue_Per_Order_cat,Orders_Count_cat_seq,Total_Revenue_cat_seq,Avg_Revenue_Per_Order_cat_seq
2016-07-26,Tuesday,1,4.0,6.2,211.0,25.6,18.1,13.1,3.2,102080.0,0.0,partly cloudy,long,high,warm,light,none,extremely high,2.0,5,4,5,3,1.0,6.0,5,182.25,36.45,very low,very low,moderate,1,1,3
2016-07-27,Wednesday,2,8.0,2.6,149.0,23.1,21.2,16.9,0.0,101550.0,0.0,overcast,short,moderate,very warm,no rain,none,very high,4.0,3,3,6,1,1.0,5.0,7,263.8,37.68571428571429,very low,very low,moderate,1,1,3
2016-07-28,Thursday,3,6.0,4.8,187.0,23.5,18.9,14.7,1.2,101400.0,0.0,mostly cloudy,moderate,high,warm,light,none,high,3.0,4,4,5,3,1.0,4.0,10,311.65,31.165,low,very low,low,2,1,2
2016-07-29,Friday,4,8.0,1.3,119.0,22.4,19.8,16.2,0.4,101110.0,0.0,overcast,very short,moderate,warm,very light,none,high,4.0,2,3,5,2,1.0,4.0,17,555.25,32.661764705882355,moderate,very low,low,3,1,2
2016-07-30,Saturday,5,7.0,1.3000000000000003,119.0,22.4,19.2,16.0,0.0,101360.0,0.0,overcast,very short,moderate,warm,no rain,none,high,4.0,2,3,5,1,1.0,4.0,26,948.4,36.47692307692308,high,very low,moderate,4,1,3
2016-07-31,Sunday,6,6.0,4.6,182.0,19.2,18.0,13.7,0.0,101700.0,0.0,mostly cloudy,moderate,high,warm,no rain,none,very high,3.0,4,4,5,1,1.0,5.0,4,104.15,26.0375,very low,very low,very low,1,1,1
2016-08-02,Tuesday,1,8.0,0.0,71.0,24.7,18.0,14.1,0.2,101000.0,0.0,overcast,none,low,warm,very light,none,high,4.0,1,2,5,2,1.0,4.0,4,136.8,34.2,very low,very low,low,1,1,2
2016-08-03,Wednesday,2,6.0,4.7,181.0,23.5,21.5,18.3,0.0,100770.0,0.0,mostly cloudy,moderate,high,very warm,no rain,none,normal,3.0,4,4,6,1,1.0,,5,158.29999999999998,31.659999999999997,very low,very low,low,1,1,2
2016-08-04,Thursday,3,6.0,2.0,132.0,24.1,19.3,15.1,0.0,100980.0,0.0,mostly cloudy,very short,moderate,warm,no rain,none,normal,3.0,2,3,5,1,1.0,,5,124.4,24.880000000000003,very low,very low,very low,1,1,1
2016-08-05,Friday,4,3.0,6.5,207.0,26.4,18.4,12.8,0.0,101970.0,0.0,partly cloudy,long,high,warm,no rain,none,very high,2.0,5,4,5,1,1.0,5.0,19,571.05,30.055263157894736,moderate,very low,low,3,1,2
2016-08-06,Saturday,5,1.0,13.400000000000002,293.0,27.300000000000004,19.6,12.7,0.0,102640.0,0.0,mostly clear,very long,very high,warm,no rain,none,extremely high,,6,5,5,1,1.0,6.0,21,604.2,28.771428571428572,high,very low,very low,4,1,1
2016-08-07,Sunday,6,4.0,8.9,238.0,22.300000000000004,22.199999999999996,17.0,0.0,102340.0,0.0,partly cloudy,very long,high,very warm,no rain,none,extremely high,2.0,6,4,6,1,1.0,6.0,13,403.25,31.01923076923077,moderate,very low,low,3,1,2
2016-08-08,Monday,0,5.0,7.2,214.0,20.8,18.2,14.1,0.0,102180.0,0.0,mostly cloudy,long,high,warm,no rain,none,extremely high,3.0,5,4,5,1,1.0,6.0,5,140.75,28.15,very low,very low,very low,1,1,1
2016-08-09,Tuesday,1,3.0,7.2,213.0,20.4,15.6,10.4,0.0,102510.0,0.0,partly cloudy,long,high,warm,no rain,none,extremely high,2.0,5,4,5,1,1.0,6.0,3,117.2,39.06666666666667,very low,very low,moderate,1,1,3
2016-08-10,Wednesday,2,6.0,3.5,156.0,24.5,15.6,10.7,0.0,102490.0,0.0,mostly cloudy,short,high,warm,no rain,none,extremely high,3.0,3,4,5,1,1.0,6.0,5,254.79999999999998,50.959999999999994,very low,very low,very high,1,1,5
2016-08-11,Thursday,3,6.0,4.9,177.0,27.7,19.7,14.9,0.0,102220.0,0.0,mostly cloudy,moderate,high,warm,no rain,none,extremely high,3.0,4,4,5,1,1.0,6.0,12,326.1,27.175,low,very low,very low,2,1,1
2016-08-12,Friday,4,1.0,12.3,273.0,25.8,20.8,13.8,0.0,102340.0,0.0,mostly clear,very long,very high,very warm,no rain,none,extremely high,,6,5,6,1,1.0,6.0,16,573.4,35.8375,moderate,very low,moderate,3,1,3
2016-08-13,Saturday,5,5.0,6.4,197.0,22.9,20.2,14.5,0.0,102260.0,0.0,mostly cloudy,long,high,very warm,no rain,none,extremely high,3.0,5,4,6,1,1.0,6.0,18,590.3000000000001,32.79444444444445,moderate,very low,low,3,1,2
2016-08-14,Sunday,6,5.0,4.4,167.0,24.7,19.6,16.2,0.0,102530.0,0.0,mostly cloudy,moderate,high,warm,no rain,none,extremely high,3.0,4,4,5,1,1.0,6.0,12,489.3,40.775,low,very low,high,2,1,4
2016-08-15,Monday,0,0.0,13.199999999999998,278.0,25.0,18.6,12.4,0.0,102440.0,0.0,clear,very long,very high,warm,no rain,none,extremely high,1.0,6,5,5,1,1.0,6.0,6,156.35,26.058333333333334,very low,very low,very low,1,1,1
2016-08-16,Tuesday,1,1.0,12.4,268.0,26.7,18.6,12.2,0.0,101920.0,0.0,mostly clear,very long,very high,warm,no rain,none,very high,,6,5,5,1,1.0,5.0,4,297.0,74.25,very low,very low,very high,1,1,5
2016-08-17,Wednesday,2,1.0,12.2,264.0,25.5,20.0,13.3,0.0,101330.0,0.0,mostly clear,very long,very high,very warm,no rain,none,high,,6,5,6,1,1.0,4.0,4,292.40000000000003,73.10000000000001,very low,very low,very high,1,1,5
2016-08-18,Thursday,3,7.0,3.8,153.0,19.2,20.6,15.7,0.2,101030.0,0.0,overcast,short,high,very warm,very light,none,high,4.0,3,4,6,2,1.0,4.0,11,389.45,35.404545454545456,low,very low,moderate,2,1,3
2016-08-19,Friday,4,6.0,1.0,99.0,21.9,18.1,17.0,2.0,100660.0,0.0,mostly cloudy,very short,low,warm,light,none,normal,3.0,2,2,5,3,1.0,,19,626.5,32.973684210526315,moderate,very low,low,3,1,2
2016-08-20,Saturday,5,6.0,1.9,118.0,23.5,18.1,14.3,0.6,100660.0,0.0,mostly cloudy,very short,moderate,warm,very light,none,normal,3.0,2,3,5,2,1.0,,26,783.2,30.123076923076926,high,very low,low,4,1,2
2016-08-21,Sunday,6,7.0,4.8,166.0,26.0,19.1,14.7,0.8,101620.0,0.0,overcast,moderate,high,warm,very light,none,very high,4.0,4,4,5,2,1.0,5.0,10,398.15,39.815,low,very low,moderate,2,1,3
2016-08-22,Monday,0,6.0,3.5,144.0,31.0,21.0,16.0,0.0,102310.0,0.0,mostly cloudy,short,moderate,very warm,no rain,none,extremely high,3.0,3,3,6,1,1.0,6.0,8,256.5,32.0625,low,very low,low,2,1,2
2016-08-23,Tuesday,1,0.0,12.8,261.0,33.1,22.0,12.9,0.0,102220.0,0.0,clear,very long,very high,very warm,no rain,none,extremely high,1.0,6,5,6,1,1.0,6.0,4,117.5,29.375,very low,very low,very low,1,1,1
2016-08-24,Wednesday,2,3.0,9.2,219.0,27.600000000000005,25.5,17.9,2.6,101770.0,0.0,partly cloudy,very long,high,hot,light,none,very high,2.0,6,4,7,3,1.0,5.0,6,155.5,25.916666666666668,very low,very low,very low,1,1,1
2016-08-25,Thursday,3,6.0,5.2,167.0,27.0,23.2,18.8,0.0,101510.0,0.0,mostly cloudy,moderate,high,very warm,no rain,none,very high,3.0,4,4,6,1,1.0,5.0,16,554.95,34.684375,moderate,very low,low,3,1,2
2016-08-26,Friday,4,2.0,12.1,249.0,26.5,22.4,17.7,0.0,101770.0,0.0,mostly clear,very long,high,very warm,no rain,none,very high,,6,4,6,1,1.0,5.0,10,348.25,34.825,low,very low,low,2,1,2
