Date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,cloud_cover_cat,sunshine_cat,global_radiation_cat,mean_temp_cat,precipitation_cat,snow_depth_cat,pressure_cat
2016-07-26,"4,0","6,2","211,0","25,6","18,1","13,1","3,2","102080,0","0,0",partly cloudy,long,high,warm,light,none,extremely high
2016-07-27,"8,0","2,6","149,0","23,1","21,2","16,9","0,0","101550,0","0,0",overcast,short,moderate,very warm,no rain,none,very high
2016-07-28,"6,0","4,8","187,0","23,5","18,9","14,7","1,2","101400,0","0,0",mostly cloudy,moderate,high,warm,light,none,high
2016-07-29,"8,0","1,3","119,0","22,4","19,8","16,2","0,4","101110,0","0,0",overcast,very short,moderate,warm,very light,none,high
2016-07-30,"7,0","1,3","119,0","22,4","19,2","16,0","0,0","101360,0","0,0",overcast,very short,moderate,warm,no rain,none,high
2016-07-31,"6,0","4,6","182,0","19,2","18,0","13,7","0,0","101700,0","0,0",mostly cloudy,moderate,high,warm,no rain,none,very high
2016-08-01,"7,0","0,0","72,0","21,9","15,6","12,1","13,0","101840,0","0,0",overcast,none,low,warm,medium,none,very high
2016-08-02,"8,0","0,0","71,0","24,7","18,0","14,1","0,2","101000,0","0,0",overcast,none,low,warm,very light,none,high
2016-08-03,"6,0","4,7","181,0","23,5","21,5","18,3","0,0","100770,0","0,0",mostly cloudy,moderate,high,very warm,no rain,none,normal
2016-08-04,"6,0","2,0","132,0","24,1","19,3","15,1","0,0","100980,0","0,0",mostly cloudy,very short,moderate,warm,no rain,none,normal
2016-08-05,"3,0","6,5","207,0","26,4","18,4","12,8","0,0","101970,0","0,0",partly cloudy,long,high,warm,no rain,none,very high
2016-08-06,"1,0","13,4","293,0","27,3","19,6","12,7","0,0","102640,0","0,0",mostly clear,very long,very high,warm,no rain,none,extremely high
2016-08-07,"4,0","8,9","238,0","22,3","22,2","17,0","0,0","102340,0","0,0",partly cloudy,very long,high,very warm,no rain,none,extremely high
2016-08-08,"5,0","7,2","214,0","20,8","18,2","14,1","0,0","102180,0","0,0",mostly cloudy,long,high,warm,no rain,none,extremely high
2016-08-09,"3,0","7,2","213,0","20,4","15,6","10,4","0,0","102510,0","0,0",partly cloudy,long,high,warm,no rain,none,extremely high
2016-08-10,"6,0","3,5","156,0","24,5","15,6","10,7","0,0","102490,0","0,0",mostly cloudy,short,high,warm,no rain,none,extremely high
2016-08-11,"6,0","4,9","177,0","27,7","19,7","14,9","0,0","102220,0","0,0",mostly cloudy,moderate,high,warm,no rain,none,extremely high
2016-08-12,"1,0","12,3","273,0","25,8","20,8","13,8","0,0","102340,0","0,0",mostly clear,very long,very high,very warm,no rain,none,extremely high
2016-08-13,"5,0","6,4","197,0","22,9","20,2","14,5","0,0","102260,0","0,0",mostly cloudy,long,high,very warm,no rain,none,extremely high
2016-08-14,"5,0","4,4","167,0","24,7","19,6","16,2","0,0","102530,0","0,0",mostly cloudy,moderate,high,warm,no rain,none,extremely high
2016-08-15,"0,0","13,2","278,0","25,0","18,6","12,4","0,0","102440,0","0,0",clear,very long,very high,warm,no rain,none,extremely high
2016-08-16,"1,0","12,4","268,0","26,7","18,6","12,2","0,0","101920,0","0,0",mostly clear,very long,very high,warm,no rain,none,very high
2016-08-17,"1,0","12,2","264,0","25,5","20,0","13,3","0,0","101330,0","0,0",mostly clear,very long,very high,very warm,no rain,none,high
2016-08-18,"7,0","3,8","153,0","19,2","20,6","15,7","0,2","101030,0","0,0",overcast,short,high,very warm,very light,none,high
2016-08-19,"6,0","1,0","99,0","21,9","18,1","17,0","2,0","100660,0","0,0",mostly cloudy,very short,low,warm,light,none,normal
2016-08-20,"6,0","1,9","118,0","23,5","18,1","14,3","0,6","100660,0","0,0",mostly cloudy,very short,moderate,warm,very light,none,normal
2016-08-21,"7,0","4,8","166,0","26,0","19,1","14,7","0,8","101620,0","0,0",overcast,moderate,high,warm,very light,none,very high
2016-08-22,"6,0","3,5","144,0","31,0","21,0","16,0","0,0","102310,0","0,0",mostly cloudy,short,moderate,very warm,no rain,none,extremely high
2016-08-23,"0,0","12,8","261,0","33,1","22,0","12,9","0,0","102220,0","0,0",clear,very long,very high,very warm,no rain,none,extremely high
2016-08-24,"3,0","9,2","219,0","27,6","25,5","17,9","2,6","101770,0","0,0",partly cloudy,very long,high,hot,light,none,very high
2016-08-25,"6,0","5,2","167,0","27,0","23,2","18,8","0,0","101510,0","0,0",mostly cloudy,moderate,high,very warm,no rain,none,very high
2016-08-26,"2,0","12,1","249,0","26,5","22,4","17,7","0,0","101770,0","0,0",mostly clear,very long,high,very warm,no rain,none,very high
2016-08-27,"5,0","2,2","117,0","21,5","21,2","15,9","0,0","101560,0","0,0",mostly cloudy,short,moderate,very warm,no rain,none,very high
2016-08-28,"6,0","2,3","118,0","24,3","19,0","16,6","2,2","101320,0","0,0",mostly cloudy,short,moderate,warm,light,none,high
2016-08-29,"4,0","6,3","176,0","27,0","19,8","15,4","0,0","102170,0","0,0",partly cloudy,long,high,warm,no rain,none,extremely high
2016-08-30,"0,0","12,2","243,0","24,8","20,0","13,0","0,0","102410,0","0,0",clear,very long,high,very warm,no rain,none,extremely high
2016-08-31,"3,0","4,9","155,0","24,8","18,8","12,7","0,0","102070,0","0,0",partly cloudy,moderate,high,warm,no rain,none,extremely high
2016-09-01,"2,0","9,9","206,0","20,2","19,0","13,2","0,0","102280,0","0,0",mostly clear,very long,high,warm,no rain,none,extremely high
2016-09-02,"7,0","0,0","55,0","21,5","17,0","13,9","0,2","101900,0","0,0",overcast,none,low,warm,very light,none,very high
2016-09-03,"5,0","4,0","134,0","20,9","16,8","12,1","4,8","101550,0","0,0",mostly cloudy,short,moderate,warm,light,none,very high
2016-09-04,"7,0","1,1","86,0","22,9","18,2","15,5","3,0","101280,0","0,0",overcast,very short,low,warm,light,none,high
2016-09-05,"8,0","0,0","53,0","23,9","18,4","13,8","0,2","101930,0","0,0",overcast,none,low,warm,very light,none,very high
2016-09-06,"8,0","0,2","62,0","28,4","19,8","15,6","0,0","102330,0","0,0",overcast,very short,low,warm,no rain,none,extremely high
2016-09-07,"5,0","6,1","155,0","23,9","23,3","18,2","0,0","101760,0","0,0",mostly cloudy,long,high,very warm,no rain,none,very high
2016-09-08,"2,0","8,5","180,0","24,3","19,4","15,0","0,0","101160,0","0,0",mostly clear,very long,high,warm,no rain,none,high
2016-09-09,"6,0","3,5","120,0","19,3","19,8","15,2","0,4","101480,0","0,0",mostly cloudy,short,moderate,warm,very light,none,high
2016-09-10,"7,0","0,0","50,0","22,0","18,6","17,9","3,2","101280,0","0,0",overcast,none,very low,warm,light,none,high
2016-09-11,"0,0","11,9","208,0","25,8","15,4","8,7","0,0","101680,0","0,0",clear,very long,high,warm,no rain,none,very high
2016-09-12,"6,0","3,0","110,0","32,8","18,2","10,6","0,0","101310,0","0,0",mostly cloudy,short,moderate,warm,no rain,none,high
2016-09-13,"1,0","10,0","187,0","27,8","24,4","16,0","0,0","100930,0","0,0",mostly clear,very long,high,very warm,no rain,none,normal
2016-09-14,"0,0","11,0","194,0","29,4","23,6","19,4","0,0","101030,0","0,0",clear,very long,high,very warm,no rain,none,high
2016-09-15,"2,0","7,2","155,0","17,8","22,6","15,7","19,8","100980,0","0,0",mostly clear,long,high,very warm,medium,none,normal
2016-09-16,"7,0","0,3","59,0","16,3","16,8","15,9","2,2","101270,0","0,0",overcast,very short,low,warm,light,none,high
2016-09-17,"8,0","0,0","46,0","20,6","14,6","12,8","0,0","102030,0","0,0",overcast,none,very low,fresh,no rain,none,extremely high
2016-09-18,"8,0","0,8","69,0","19,6","17,0","13,4","0,0","102140,0","0,0",overcast,very short,low,warm,no rain,none,extremely high
2016-09-19,"8,0","0,6","64,0","19,0","16,3","13,0","1,8","102170,0","0,0",overcast,very short,low,warm,light,none,extremely high
2016-09-20,"8,0","0,0","44,0","22,1","16,6","14,3","0,0","102020,0","0,0",overcast,none,very low,warm,no rain,none,extremely high
2016-09-21,"6,0","4,8","121,0","20,8","18,5","14,9","0,0","101810,0","0,0",mostly cloudy,moderate,moderate,warm,no rain,none,very high
2016-09-22,"6,0","2,5","92,0","20,7","17,6","14,3","0,0","101920,0","0,0",mostly cloudy,short,low,warm,no rain,none,very high
2016-09-23,"2,0","9,7","166,0","23,2","14,8","8,9","0,0","102410,0","0,0",mostly clear,very long,high,fresh,no rain,none,extremely high
2016-09-24,"3,0","4,9","118,0","21,0","16,5","9,8","1,6","101700,0","0,0",partly cloudy,moderate,moderate,warm,light,none,very high
2016-09-25,"3,0","6,4","132,0","18,7","18,0","15,1","0,0","101470,0","0,0",partly cloudy,long,moderate,warm,no rain,none,high
2016-09-26,"5,0","0,8","62,0","19,6","14,2","9,6","0,8","102200,0","0,0",mostly cloudy,very short,low,fresh,very light,none,extremely high
2016-09-27,"6,0","0,2","48,0","23,2","14,4","9,1","0,0","102250,0","0,0",mostly cloudy,very short,very low,fresh,no rain,none,extremely high
2016-09-28,"5,0","4,1","104,0","20,3","17,6","12,1","1,2","102370,0","0,0",mostly cloudy,moderate,moderate,warm,light,none,extremely high
2016-09-29,"6,0","3,8","100,0","19,7","17,7","15,1","0,4","101510,0","0,0",mostly cloudy,short,low,warm,very light,none,very high
2016-09-30,"5,0","6,8","128,0","16,1","15,4","11,2","2,6","101230,0","0,0",mostly cloudy,long,moderate,warm,light,none,high
2016-10-01,"6,0","2,2","78,0","17,6","12,6","9,2","3,2","100650,0","0,0",mostly cloudy,short,low,fresh,light,none,normal
2016-10-02,"4,0","7,0","127,0","18,5","13,3","9,0","0,0","101680,0","0,0",partly cloudy,long,moderate,fresh,no rain,none,very high
2016-10-03,"0,0","10,3","152,0","19,0","12,0","5,4","0,0","102870,0","0,0",clear,very long,high,fresh,no rain,none,extremely high
2016-10-04,"1,0","9,1","141,0","17,7","14,4","9,8","0,0","103000,0","0,0",mostly clear,very long,moderate,fresh,no rain,none,extremely high
2016-10-05,"1,0","10,2","148,0","16,2","14,5","11,3","0,0","102950,0","0,0",mostly clear,very long,moderate,fresh,no rain,none,extremely high
2016-10-06,"6,0","2,3","75,0","15,5","12,5","8,8","0,0","102540,0","0,0",mostly cloudy,short,low,fresh,no rain,none,extremely high
2016-10-07,"8,0","0,0","35,0","17,0","13,4","11,3","0,0","102250,0","0,0",overcast,none,very low,fresh,no rain,none,extremely high
2016-10-08,"8,0","0,5","47,0","16,0","14,5","12,0","0,0","102600,0","0,0",overcast,very short,very low,fresh,no rain,none,extremely high
2016-10-09,"5,0","5,3","101,0","14,4","12,3","8,6","0,2","102800,0","0,0",mostly cloudy,moderate,moderate,fresh,very light,none,extremely high
2016-10-10,"2,0","7,1","115,0","16,8","10,1","5,8","0,0","102620,0","0,0",mostly clear,long,moderate,fresh,no rain,none,extremely high
2016-10-11,"3,0","6,3","107,0","16,0","10,8","4,9","2,0","102290,0","0,0",partly cloudy,long,moderate,fresh,light,none,extremely high
2016-10-12,"7,0","3,3","79,0","13,8","12,6","9,1","3,2","102020,0","0,0",overcast,short,low,fresh,light,none,extremely high
2016-10-13,"7,0","2,8","73,0","15,2","11,1","8,4","0,0","101290,0","0,0",overcast,short,low,fresh,no rain,none,high
2016-10-14,"8,0","0,8","48,0","18,2","12,1","9,0","0,0","100620,0","0,0",overcast,very short,very low,fresh,no rain,none,normal
2016-10-15,"5,0","2,2","65,0","18,4","13,4","8,7","7,8","100670,0","0,0",mostly cloudy,short,low,fresh,light,none,normal
2016-10-16,"4,0","3,4","76,0","17,7","12,8","7,3","2,8","101210,0","0,0",partly cloudy,short,low,fresh,light,none,high
2016-10-17,"4,0","4,7","86,0","14,4","13,7","9,7","1,8","101820,0","0,0",partly cloudy,moderate,low,fresh,light,none,very high
2016-10-18,"3,0","3,7","76,0","13,5","11,8","9,1","0,0","101980,0","0,0",partly cloudy,short,low,fresh,no rain,none,very high
2016-10-19,"7,0","1,5","53,0","14,9","11,2","9,0","0,0","102130,0","0,0",overcast,very short,low,fresh,no rain,none,extremely high
