Order ID,Date,Time,Total products,Total Price,Average Item Price,Median Item Price,Cheapest Item Price,Most Expensive Item Price,Average Item Quantity,Max Item Quantity,Min Item Quantity
4853,2016-07-26,18:53:00,8,"45,55","5,69375","4,45","2,95","8,95","1,125","2,0","1,0"
4854,2016-07-26,19:07:00,4,"21,65","5,4125","5,449999999999999","0,8","9,95","1,0","1,0","1,0"
4856,2016-07-26,19:34:00,4,"38,65","9,6625","4,45","2,95","8,95","1,75","2,0","1,0"
4857,2016-07-26,19:34:00,3,"40,7","13,566666666666668","2,95","2,5","8,95","2,6666666666666665","3,0","2,0"
4858,2016-07-26,22:04:00,8,"35,7","4,4625","4,45","0,5","9,95","1,25","2,0","1,0"
4861,2016-07-27,10:24:00,7,"22,6","3,2285714285714286","2,95","0,5","8,95","1,0","1,0","1,0"
4873,2016-07-27,18:02:00,2,"51,75","25,875","7,949999999999999","3,95","11,95","2,5","4,0","1,0"
4874,2016-07-27,18:10:00,4,"18,8","4,7","3,95","2,95","7,95","1,0","1,0","1,0"
4875,2016-07-27,18:15:00,12,"64,3","5,358333333333333","2,725","0,5","10,95","1,5833333333333333","4,0","1,0"
4876,2016-07-27,18:17:00,8,"32,95","4,11875","2,375","0,5","8,95","1,25","2,0","1,0"
4877,2016-07-27,18:52:00,9,"52,1","5,788888888888889","4,95","2,5","8,95","1,125","2,0","1,0"
4879,2016-07-27,19:53:00,4,"21,3","5,325","3,95","2,5","5,95","1,25","2,0","1,0"
4880,2016-07-28,17:53:00,4,"21,75","5,4375","3,45","2,95","7,95","1,25","2,0","1,0"
4883,2016-07-28,18:31:00,5,"19,85","3,97","3,95","0,5","10,95","1,25","2,0","1,0"
4886,2016-07-28,18:35:00,7,"50,6","7,228571428571428","3,95","2,5","8,95","1,4285714285714286","2,0","1,0"
4887,2016-07-28,18:44:00,4,"21,35","5,3375","4,95","2,5","8,95","1,0","1,0","1,0"
4888,2016-07-28,18:58:00,4,"28,8","7,2","6,949999999999999","3,95","10,95","1,0","1,0","1,0"
4890,2016-07-28,19:14:00,4,"30,65","7,6625","5,225","0,8","8,95","1,5","2,0","1,0"
4891,2016-07-28,19:38:00,6,"38,65","6,441666666666666","5,45","2,95","8,95","1,1666666666666667","2,0","1,0"
4892,2016-07-28,20:07:00,11,"53,8","4,890909090909091","3,95","0,5","12,95","1,2727272727272727","4,0","1,0"
4893,2016-07-28,20:20:00,2,"17,9","8,95","8,95","8,95","8,95","1,0","1,0","1,0"
4894,2016-07-28,20:33:00,5,"28,3","5,66","2,95","2,5","10,95","1,0","1,0","1,0"
4900,2016-07-29,16:14:00,3,"25,85","8,616666666666665","5,95","2,5","8,95","1,6666666666666667","2,0","1,0"
4901,2016-07-29,17:33:00,4,"17,35","4,3375","3,45","2,5","7,95","1,0","1,0","1,0"
4902,2016-07-29,17:38:00,5,"18,3","3,66","2,95","0,5","7,95","1,0","1,0","1,0"
4903,2016-07-29,17:42:00,2,"57,75","28,875","10,95","9,95","11,95","2,5","4,0","1,0"
4905,2016-07-29,17:48:00,4,"19,8","4,95","3,95","2,95","8,95","1,0","1,0","1,0"
4906,2016-07-29,17:50:00,8,"41,900000000000006","5,237500000000001","3,95","0,5","8,95","1,5","4,0","1,0"
4907,2016-07-29,17:50:00,10,"60,0","6,0","4,95","2,5","8,95","1,1","2,0","1,0"
4908,2016-07-29,18:00:00,7,"24,55","3,507142857142857","2,5","0,5","8,95","1,4285714285714286","4,0","1,0"
4912,2016-07-29,18:34:00,5,"39,65","7,93","7,95","2,95","8,95","1,4","2,0","1,0"
4913,2016-07-29,18:41:00,3,"18,85","6,283333333333334","5,95","3,95","8,95","1,0","1,0","1,0"
4914,2016-07-29,18:55:00,12,"51,2","4,266666666666667","2,95","0,5","8,95","1,4166666666666667","5,0","1,0"
4915,2016-07-29,19:02:00,6,"25,25","4,208333333333333","2,725","0,5","11,95","1,3333333333333333","3,0","1,0"
4916,2016-07-29,19:38:00,5,"20,4","4,08","3,95","0,8","7,95","1,2","2,0","1,0"
4917,2016-07-29,19:53:00,6,"30,25","5,041666666666667","3,45","2,5","8,95","1,0","1,0","1,0"
4918,2016-07-29,20:42:00,5,"33,599999999999994","6,719999999999999","6,949999999999999","0,8","9,95","1,25","2,0","1,0"
4921,2016-07-29,22:30:00,6,"27,0","4,5","3,95","0,5","8,95","2,0","4,0","1,0"
4922,2016-07-29,22:45:00,6,"43,55","7,258333333333333","5,45","1,95","9,95","1,5","2,0","1,0"
4923,2016-07-30,17:03:00,4,"24,35","6,0875","6,95","2,5","7,95","1,0","1,0","1,0"
4924,2016-07-30,17:11:00,5,"36,7","7,340000000000001","7,95","2,95","8,95","1,2","2,0","1,0"
4925,2016-07-30,17:18:00,8,"44,1","5,512499999999999","2,725","0,5","8,95","1,625","3,0","1,0"
4926,2016-07-30,17:36:00,6,"50,6","8,433333333333332","8,45","2,95","12,95","1,3333333333333333","3,0","1,0"
